,Path,Line_ID,Im_Width,Im_Height,Text,Char_Num,Avg_CW
0,e04/e04-127/e04-127-04.png,e04-127-04.png,1864,163,WHEN an assortment of differently coloured materials are cut,60,31.066666666666666
1,e04/e04-127/e04-127-05.png,e04-127-05.png,1770,146,into a variety of shapes they can be combined by either,55,32.18181818181818
2,e04/e04-127/e04-127-06.png,e04-127-06.png,1037,168,making fabric pictures or designs.,34,30.5
3,e04/e04-127/e04-127-02.png,e04-127-02.png,1829,126,"appearance and the strength. Paint with good marine primer,",59,31.0
4,e04/e04-127/e04-127-03.png,e04-127-03.png,1655,176,undercoat and at least one coat of finishing paint.,51,32.450980392156865
5,e04/e04-127/e04-127-01.png,e04-127-01.png,1585,115,with copper nails and roves. It greatly improves the,52,30.48076923076923
6,e04/e04-127/e04-127-00.png,e04-127-00.png,1782,167,I rivet my gunwales together through the side of the hull,57,31.26315789473684
7,e04/e04-119/e04-119-02.png,e04-119-02.png,1858,129,"the moulds. You won't want them again for this boat, so",55,33.78181818181818
8,e04/e04-119/e04-119-03.png,e04-119-03.png,1860,139,shift them right out of the way. Place the boat right side,58,32.06896551724138
9,e04/e04-119/e04-119-01.png,e04-119-01.png,1801,146,the rubbing strakes and you are ready to lift the boat off,58,31.051724137931036
10,e04/e04-119/e04-119-00.png,e04-119-00.png,1730,157,"Again, don't forget to glue. Now put on the keel and",52,33.269230769230774
11,e04/e04-119/e04-119-04.png,e04-119-04.png,1711,184,up on two boxes or trestles of convenient height for,52,32.903846153846146
12,e04/e04-119/e04-119-05.png,e04-119-05.png,246,135,working.,8,30.75
13,e04/e04-091/e04-091-03.png,e04-091-03.png,1701,74,slots cut in the moulds and into the notches,44,38.65909090909091
14,e04/e04-091/e04-091-02.png,e04-091-02.png,1673,106,spring them both at the same time over the,42,39.833333333333336
15,e04/e04-091/e04-091-00.png,e04-091-00.png,1736,134,The chines are morticed into this and butt up,45,38.57777777777777
16,e04/e04-091/e04-091-01.png,e04-091-01.png,1618,109,against the transom. Start at the bow and,41,39.46341463414634
17,e04/e04-091/e04-091-05.png,e04-091-05.png,1699,123,"transom framing. Glue, screw and make fast.",43,39.51162790697674
18,e04/e04-091/e04-091-04.png,e04-091-04.png,1609,122,cut for this purpose in the stern or after,42,38.30952380952381
19,e04/e04-062/e04-062-08.png,e04-062-08.png,366,121,shilling.,9,40.66666666666666
20,e04/e04-062/e04-062-00.png,e04-062-00.png,1837,82,This is hot pressed and resin bonded to ensure,46,39.93478260869565
21,e04/e04-062/e04-062-01.png,e04-062-01.png,1898,108,a permanently water proof glue line. Be sure to,47,40.38297872340426
22,e04/e04-062/e04-062-03.png,e04-062-03.png,2089,100,This may be bought at any good timber merchants.,48,43.52083333333334
23,e04/e04-062/e04-062-02.png,e04-062-02.png,2056,101,"see that the edge bears the mark, P.M.B.C. Exterior.",52,39.53846153846154
25,e04/e04-062/e04-062-07.png,e04-062-07.png,2122,112,mahogany table which I bought at a sale for one,47,45.14893617021277
27,e04/e04-062/e04-062-04.png,e04-062-04.png,2005,82,The transoms can be made of any sound five-ply,46,43.58695652173913
28,e04/e04-038/e04-038-06.png,e04-038-06.png,1203,134,satisfying and worthwhile project.,34,35.382352941176464
29,e04/e04-038/e04-038-05.png,e04-038-05.png,1802,139,(J.H.P.) BUILDING your own boat is a most,41,43.95121951219512
30,e04/e04-038/e04-038-04.png,e04-038-04.png,1176,116,paint would soon be scratched off.,34,34.588235294117645
31,e04/e04-038/e04-038-00.png,e04-038-00.png,1794,125,Avoid using lead-based paint as this could prove poisonous,58,30.931034482758623
33,e04/e04-038/e04-038-03.png,e04-038-03.png,1801,107,material that might be available as otherwise the,49,36.755102040816325
34,e04/e04-038/e04-038-02.png,e04-038-02.png,1830,120,to cover the footrest with rubber or any such protective,56,32.67857142857143
35,e04/e04-000/e04-000-02.png,e04-000-02.png,1731,105,"commercial articles, this chair is solidly built and",52,33.28846153846154
36,e04/e04-000/e04-000-03.png,e04-000-03.png,1752,134,capable of withstanding the heavy handling of the,49,35.755102040816325
37,e04/e04-000/e04-000-01.png,e04-000-01.png,1590,105,family man or father-to-be. Unlike many,39,40.769230769230774
38,e04/e04-000/e04-000-00.png,e04-000-00.png,1708,110,HERE is a project that will be welcomed by the,46,37.130434782608695
39,e04/e04-000/e04-000-04.png,e04-000-04.png,1819,135,most destructive youngster. Almost any available,48,37.895833333333336
40,e04/e04-000/e04-000-05.png,e04-000-05.png,1559,103,timber can be used but Parana pine is,37,42.135135135135144
41,e04/e04-000/e04-000-07.png,e04-000-07.png,908,114,taking a good finish.,21,43.23809523809525
42,e04/e04-000/e04-000-06.png,e04-000-06.png,1702,114,"recommended, being cheap, easy to work, and",43,39.58139534883721
43,e04/e04-052/e04-052-03.png,e04-052-03.png,1884,124,"always used brass screws, which are more expensive. The first",61,30.885245901639344
44,e04/e04-052/e04-052-02.png,e04-052-02.png,1845,132,firmly by using a hammer on each side. Over here I've,53,34.81132075471698
45,e04/e04-052/e04-052-00.png,e04-052-00.png,1780,109,"For instance, in Canada we use galvanised nails",47,37.872340425531924
47,e04/e04-052/e04-052-05.png,e04-052-05.png,1930,114,"but to save money any scrap may be used, and if this",52,37.115384615384606
48,e04/e04-052/e04-052-04.png,e04-052-04.png,2009,115,"job is to make your moulds. In Fig. 1 it quotes 3/4 in. five-ply,",65,30.907692307692308
49,e04/e04-052/e04-052-06.png,e04-052-06.png,1969,104,"is nailed and glued together strongly, it may be marked",55,35.8
50,e04/e04-052/e04-052-07.png,e04-052-07.png,854,105,and cut to shape later.,23,37.130434782608695
51,e04/e04-099/e04-099-04.png,e04-099-04.png,1787,131,"purpose, the sides from one, and the bottom from",48,37.22916666666666
52,e04/e04-099/e04-099-05.png,e04-099-05.png,1755,102,the other. If care is taken not to waste the,44,39.88636363636363
53,e04/e04-099/e04-099-06.png,e04-099-06.png,1794,133,"ply, plenty of material is left over for the thwarts.",53,33.849056603773576
54,e04/e04-099/e04-099-02.png,e04-099-02.png,1736,126,planing after fixing to the boat. Use your two,46,37.73913043478261
55,e04/e04-099/e04-099-03.png,e04-099-03.png,1581,143,lengths of 8 ft. by 4 ft. ply for this,38,41.60526315789474
56,e04/e04-099/e04-099-01.png,e04-099-01.png,1770,126,plan measurements but leave sufficient margin for,49,36.122448979591844
57,e04/e04-099/e04-099-00.png,e04-099-00.png,1773,120,Cut out the bottom and sides accurately from the,48,36.9375
58,e04/e04-030/e04-030-01.png,e04-030-01.png,1747,123,inside of the chair arms about 2 1/2 in. from the,49,35.6530612244898
59,e04/e04-030/e04-030-00.png,e04-030-00.png,1713,163,"To complete the job, screw two fittings to the",46,37.23913043478261
60,e04/e04-030/e04-030-02.png,e04-030-02.png,1735,133,back to hold the baby's safety harness. These can be,52,33.365384615384606
61,e04/e04-030/e04-030-03.png,e04-030-03.png,1763,166,made by shaping and soldering two pieces of stout,49,35.979591836734684
62,e04/e04-030/e04-030-06.png,e04-030-06.png,1775,150,considerable pulling as the child becomes older.,48,36.97916666666666
