Path,Line_ID,Im_Width,Im_Height,Text,Char_Num,Avg_CW,M_Im_Width,M_Avg_CW
e04/e04-127/e04-127-04.png,e04-127-04.png,1864,163,WHEN an assortment of differently coloured materials are cut,60,31.066666666666666,1463,24.383333333333333
e04/e04-127/e04-127-05.png,e04-127-05.png,1770,146,into a variety of shapes they can be combined by either,55,32.18181818181818,1551,28.2
e04/e04-127/e04-127-06.png,e04-127-06.png,1037,168,making fabric pictures or designs.,34,30.5,790,23.235294117647058
e04/e04-127/e04-127-02.png,e04-127-02.png,1829,126,"appearance and the strength. Paint with good marine primer,",59,31.0,1858,31.491525423728813
e04/e04-127/e04-127-03.png,e04-127-03.png,1655,176,undercoat and at least one coat of finishing paint.,51,32.450980392156865,1203,23.58823529411765
e04/e04-127/e04-127-01.png,e04-127-01.png,1585,115,with copper nails and roves. It greatly improves the,52,30.48076923076923,1764,33.92307692307692
e04/e04-127/e04-127-00.png,e04-127-00.png,1782,167,I rivet my gunwales together through the side of the hull,57,31.263157894736842,1365,23.94736842105263
e04/e04-119/e04-119-02.png,e04-119-02.png,1858,129,"the moulds. You won't want them again for this boat, so",55,33.78181818181818,1843,33.50909090909091
e04/e04-119/e04-119-03.png,e04-119-03.png,1860,139,shift them right out of the way. Place the boat right side,58,32.06896551724138,1712,29.517241379310345
e04/e04-119/e04-119-01.png,e04-119-01.png,1801,146,the rubbing strakes and you are ready to lift the boat off,58,31.051724137931036,1578,27.20689655172414
e04/e04-119/e04-119-00.png,e04-119-00.png,1730,157,"Again, don't forget to glue. Now put on the keel and",52,33.26923076923077,1410,27.115384615384617
e04/e04-119/e04-119-04.png,e04-119-04.png,1711,184,up on two boxes or trestles of convenient height for,52,32.90384615384615,1190,22.884615384615383
e04/e04-119/e04-119-05.png,e04-119-05.png,246,135,working.,8,30.75,233,29.125
e04/e04-091/e04-091-03.png,e04-091-03.png,1701,74,slots cut in the moulds and into the notches,44,38.65909090909091,2942,66.86363636363636
e04/e04-091/e04-091-02.png,e04-091-02.png,1673,106,spring them both at the same time over the,42,39.833333333333336,2020,48.095238095238095
e04/e04-091/e04-091-00.png,e04-091-00.png,1736,134,The chines are morticed into this and butt up,45,38.577777777777776,1658,36.84444444444444
e04/e04-091/e04-091-01.png,e04-091-01.png,1618,109,against the transom. Start at the bow and,41,39.46341463414634,1900,46.34146341463415
e04/e04-091/e04-091-05.png,e04-091-05.png,1699,123,"transom framing. Glue, screw and make fast.",43,39.51162790697674,1768,41.116279069767444
e04/e04-091/e04-091-04.png,e04-091-04.png,1609,122,cut for this purpose in the stern or after,42,38.30952380952381,1688,40.19047619047619
e04/e04-062/e04-062-08.png,e04-062-08.png,366,121,shilling.,9,40.666666666666664,387,43.0
